Dam,TotalCapacity,Latitude,Longitude
Omerli Dam,48.555,40.976814668623994, 29.3424955365078
Pabucdere River,3.790,41.63827848434883, 28.064477479233556
Sazlidere Dam,4.777,41.1260195271978, 28.68925144402381
Buyukcekmece Dam,25.951,41.038046289830376, 28.574247606069864
Alibeykoy Dam,10.441,41.12382688511486, 28.908092657375587
Terkos Lake,37.022,41.30763300804255, 28.665048648290213
Kazandere,0.600,41.61720578393293, 28.054774682938625
Elmali Dam,2.320,41.057328006599995, 29.131139110190585
Darlik Dam,53.583,41.11409054360297, 29.569973904659424
Istranca Lakes,1.444,41.58126135763143, 28.10031897686208
